created_at,text
04/13/2020,b'Thinking of hosting a @powerpoint party over #MicrosoftTeams? \n\nReply to this tweet with your topic ideas and we mi\xe2\x80\xa6 https://t.co/VhHc1x0Tz0'
04/13/2020,b'@caIxstyles ...you up?'
04/13/2020,"b'As working from home becomes the new normal, give your employees the secure, seamless access to the tools and resou\xe2\x80\xa6 https://t.co/5LiXJ7PZ08'"
04/11/2020,b'Things to do today:\n\n1. #StayHome\n2. Share an Excel doc through #MicrosoftTeams with a friend or coworker.\n3. Play\xe2\x80\xa6 https://t.co/nDkKZD4DT6'
04/11/2020,b'@1000jams \xf0\x9f\xa4\x98'
04/11/2020,"b""@deanchokeme Don't we all?"""
04/11/2020,b'@jminswonderland uwu'
04/11/2020,b'@MillennialRach Pics or it didn\xe2\x80\x99t happen \xf0\x9f\x96\xbc\xef\xb8\x8f'
04/11/2020,b'@danwpratt \xf0\x9f\x98\x82'
04/11/2020,b'@dearbhlaemily What are we cookin\xe2\x80\x99 up?'
04/10/2020,"b"".@kevin_scott, Microsoft's chief technology officer and author of Reprogramming the American Dream, dives into the\xe2\x80\xa6 https://t.co/GCVJXqGvxf"""
04/10/2020,b'Learn more: https://t.co/TGbBxyjWyy'
04/10/2020,"b""Don't get phished. \xf0\x9f\x8e\xa3 Attackers are attempting to steal data and passwords using fake #COVID-19 emails. \n\nLook out f\xe2\x80\xa6 https://t.co/BsSDSN55r8"""
04/10/2020,"b'With the help of passionate volunteers, Microsoft is re-purposing food from campus suppliers to create boxed lunche\xe2\x80\xa6 https://t.co/XpfiS1VRXd'"
04/10/2020,b'Custom backgrounds from @MicrosoftTeams have officially started rolling out. \xf0\x9f\x91\x80\xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb2 https://t.co/MNmBKZdtvz'
04/10/2020,b'@Amiraelmesliman Now enrolling \xf0\x9f\x93\x9a\xf0\x9f\x8e\x93'
04/10/2020,b'@lafilmographie Here to support you in these moments \xf0\x9f\x91\x8f'
04/10/2020,b'@VNDMG Level up: set your alarm tone to the meeting notification \xf0\x9f\x94\x94'
04/10/2020,b'@otsegirl86 YES \xf0\x9f\x91\x8f WE \xf0\x9f\x91\x8f HAVE \xf0\x9f\x91\x8f'
04/10/2020,"b""Check out this week's episode of 'Can you Spare a Square?' \xe2\xac\x87\xef\xb8\x8f https://t.co/CLnr8s1hTb"""
04/10/2020,"b'With many organizations forced to work remotely during the #COVID-19 outbreak, the need for virtual training and su\xe2\x80\xa6 https://t.co/RzHTEdQsEl'"
04/09/2020,"b'Teaching is among the most challenging professions in ordinary times, and these times are anything but ordinary.\n\nT\xe2\x80\xa6 https://t.co/wn08gQZwLh'"
04/09/2020,"b'In times like these, it\xe2\x80\x99s more important than ever to come together. Microsoft is proud to join the #StayHome movem\xe2\x80\xa6 https://t.co/EZvbH7WSHc'"
04/09/2020,b'@intYLtd \xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f'
04/09/2020,b'@Xbox honk honk'
04/09/2020,"b'@Xbox We\xe2\x80\x99ll take A, X or Y. No way we\xe2\x80\x99re quaranteaming with The Goose.'"
04/09/2020,b'@dadumdog We would like to see \xf0\x9f\x8c\xbb\xf0\x9f\x8e\xa8'
04/09/2020,"b'@Sarah__Anns Just set 6 alarms 5 minutes apart like the rest of us, Sarah.'"
04/09/2020,b'@audreylets LOL. We all need that extra push sometimes.'
04/09/2020,b'@ItsChaad REPEAT AFTER CHAD \xf0\x9f\x93\xa3'
04/09/2020,b'@ECConsultancyuk GTG'
04/09/2020,b'@carat240 \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
04/09/2020,b'@matvelloso Everything is fine.'
04/09/2020,b'@MeetingBoy They cancel the OA but keep THIS?!'
04/09/2020,b'Explore how global technology habits are shifting with @MicrosoftTeams during this unprecedented time:\xe2\x80\xa6 https://t.co/vREuBoaboe'
04/09/2020,b'A wholesome thread of pet pics to enjoy today. https://t.co/8fzYhKRQFn'
04/08/2020,b'I said GOOD DAY \xe2\x98\x8e\xef\xb8\x8f https://t.co/koahnmNxDJ'
04/08/2020,b'@Susanne__Norris Chag Sameach \xf0\x9f\x8c\xb7'
04/08/2020,b'@timshel_11 \xf0\x9f\x98\xac\xf0\x9f\x99\x83'
04/08/2020,"b'@rebecca_roache ""You are the only person on the call""'"
04/08/2020,b'@another_shiro \xf0\x9f\x8f\x83 Private channels in Microsoft Teams: https://t.co/eqh4YxbiTR'
04/08/2020,b'@danieltaylor \xf0\x9f\x98\x82'
04/08/2020,b'\xf0\x9f\x91\x80 https://t.co/oxGWhT6MEm'
04/08/2020,"b'As COVID-19 has left 1.5+ billion children out-of-school, #DistanceLearning is the best chance these children have\xe2\x80\xa6 https://t.co/cJjgB8oCdV'"
04/08/2020,"b'Healthcare organizations in Europe and around the world have created 1,230 instances of COVID-19 bots that have ser\xe2\x80\xa6 https://t.co/X6t0HPw1dq'"
04/07/2020,"b""@saradietschy We're a fan of audio-notes \xf0\x9f\x8e\x99\xef\xb8\x8f"""
04/07/2020,b'This \xe2\xac\x87\xef\xb8\x8f https://t.co/70H4HDgfoz'
04/07/2020,b'\xf0\x9f\x9a\xb0 A #MicrosoftTeams channel for virtual \xe2\x80\x9cwater cooler\xe2\x80\x9d hangouts\n\n\xe2\x98\x95 Virtual lunches and coffee breaks\n\n\xf0\x9f\x9a\xb6 Outdoor wal\xe2\x80\xa6 https://t.co/2XKjzLZGie'
04/07/2020,"b'@Samcornwell Egg-cellent, Sam. Egg-cellent.'"
04/07/2020,b'@Twitter \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
04/07/2020,b'@Samcornwell Is henybody there?'
04/07/2020,b'@sig225 \xf0\x9f\x91\x80'
04/07/2020,b'@ArushiM06 We\xe2\x80\x99re all in this together \xf0\x9f\x96\x90'
04/07/2020,b'@TawnyaSchlosser Let them speak \xf0\x9f\x90\xbe'
04/07/2020,b'@ragsoflove It was bound to happen eventually.'
04/07/2020,b'@spudddddddddd This is beautiful \xe2\x9d\xa4'
04/07/2020,"b'""Scott\xe2\x80\x99s version of our AI future is a refreshingly optimistic one, and it\xe2\x80\x99s coming from someone who knows the tech\xe2\x80\xa6 https://t.co/KD495jLJUl'"
04/06/2020,b'@justgobble How dare. \xf0\x9f\x99\x84'
04/06/2020,"b""For more than 30 years, we've hosted students from around the world as part of our summer internship program. \n\nAs\xe2\x80\xa6 https://t.co/U92tCxDIce"""
04/06/2020,b'@charlraddon Notifications &gt;&gt; https://t.co/eBHY2FP3ab'
04/06/2020,"b'From safeguarding data to navigating #MicrosoftTeams, here are some tips to help your student succeed with distance\xe2\x80\xa6 https://t.co/54GLtGEE5O'"
04/06/2020,b'@gigi_anj We\xe2\x80\x99ll take it. \xf0\x9f\x98\x82'
04/06/2020,b'@MisterJWatson \xf0\x9f\x98\x82'
04/06/2020,b'@zero_surfinyou Nothing about this is pointless.'
04/06/2020,b'\xe2\x9c\x85 AI for everyone\n\xe2\x9c\x85 Rural broadband access\n\xe2\x9c\x85 Digital skills development\n\nTune in now for a live online event with M\xe2\x80\xa6 https://t.co/tNyHZwg0xa'
04/06/2020,"b'.@kevin_scott, Microsoft\xe2\x80\x99s chief technology officer, sits down with @JDVance1 to talk about AI and the American Dre\xe2\x80\xa6 https://t.co/R6498PyrsW'"
04/04/2020,b'@craigh_uk Thank you! \xf0\x9f\x91\x8a'
04/04/2020,b'@craigh_uk Yeah thanks Craig \xf0\x9f\x98\x91'
04/04/2020,b'@Emojipedia \xf0\x9f\x8e\x89\xf0\x9f\xa7\x81\xf0\x9f\x8e\x82\xf0\x9f\x8e\x88\xe2\x9d\xa4\xef\xb8\x8f'
04/04/2020,b'@Cloud9 Thank you! \xf0\x9f\x94\xb4\xf0\x9f\x9f\xa2\xf0\x9f\x9f\xa1\xf0\x9f\x94\xb5'
04/04/2020,b'@cory_f1 HBD! \xf0\x9f\xa7\x81'
04/04/2020,"b'Who wants a slice of cake? \xf0\x9f\x8e\x82 \n\nOn this day in 1975, Microsoft was born. https://t.co/54dXcp1GOY'"
04/04/2020,b'@melissacamara This is all of us.'
04/04/2020,b'@eclectic_em13 Report back with pics. \xf0\x9f\xa5\x94'
04/04/2020,b'@kateamcgee_ We\xe2\x80\x99ll see you on Monday \xf0\x9f\x91\x8b'
04/03/2020,b'\xf0\x9f\x8c\x8e We know the world is facing an urgent carbon emissions problem. \n\nLearn about our plan to reduce and ultimately r\xe2\x80\xa6 https://t.co/a6D2Gm68Aa'
04/03/2020,"b'#AI holds the potential to solve some of the biggest issues facing society today. \n\n@kevin_scott, Microsoft\xe2\x80\x99s chief\xe2\x80\xa6 https://t.co/gTHQLBYLRr'"
04/03/2020,b'@kYm_gaIa You tell us \xf0\x9f\xa5\xba\xf0\x9f\x91\x89\xf0\x9f\x91\x88'
04/03/2020,"b'@dand391 Just shake it off, shake it off \xf0\x9f\x92\x83 \xf0\x9f\x8e\xb6'"
04/02/2020,b'@xSaltsicle \xe2\x9d\xa4\xef\xb8\x8f'
04/02/2020,b'#ThrowbackThursday https://t.co/fOjKyZq6t8'
04/02/2020,b'@jannahtesl Layla is a pro. \xf0\x9f\x8e\xa8'
04/02/2020,b'@jamiebulldj \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
04/02/2020,b'@And_Caz WHERE IS EVERYONE?'
04/02/2020,b'@CREMicrosoft Amazing. Thank you!'
04/02/2020,"b'@lightbourne If loving Teams is wrong, we don\xe2\x80\x99t want to be right.'"
04/02/2020,b'@abbymlink \xf0\x9f\x92\x93 Tell mom we said hi.'
04/02/2020,b'@ariannaa88 \xf0\x9f\x98\xb3\xf0\x9f\x98\x82'
04/02/2020,b'New features in #MicrosoftTeams are helping people adjust to remote work and learning.\n\n\xf0\x9f\x94\x89 Real-time noise suppressi\xe2\x80\xa6 https://t.co/vlIfFNl5O0'
04/02/2020,"b'@JenMsft Put it against the music, you\xe2\x80\x99ll see.'"
04/02/2020,"b'Important #MicrosoftTeams tip: the dancing man emoji dances in perfect rhythm to ""Wannabe"" by the Spice Girls. https://t.co/XfgxWmjYhC'"
04/02/2020,"b'@PettyClegg No, thank you. \xf0\x9f\xa5\x94\xf0\x9f\xa5\x94\xf0\x9f\xa5\x94\xf0\x9f\xa5\x94'"
04/02/2020,"b""We're still laughing about this. #PotatoBoss \xf0\x9f\xa5\x94 https://t.co/rdmB8juqjz"""
04/01/2020,b'\xe2\x98\x81\xef\xb8\x8f Monitoring performance and usage trends 24/7\n\n\xe2\x98\x81\xef\xb8\x8f Working with first responders and critical government agencies\xe2\x80\xa6 https://t.co/OKcGgUJ2fZ'
04/01/2020,"b""To support local workers and families who have been hit hardest by these uncertain economic times, we've partnered\xe2\x80\xa6 https://t.co/rPgvkkTlax"""
04/01/2020,b'@JohnTaylorMitie @FrancisWoodsmi1 \xf0\x9f\x90\x8d\xf0\x9f\x91\x91'
04/01/2020,b'@hesblonded GJ should\xe2\x80\x99ve figured this out a long time ago. \xe2\x9d\xa4\xef\xb8\x8f'
04/01/2020,b'@StuBurchett And if you don\xe2\x80\x99t remember\nThe camera feature beams\nWe can smile and chat together\nTogether on Microsoft Teams'
04/01/2020,b'@MichaelMGarrett \xf0\x9f\x98\x82\xf0\x9f\x98\x82'
04/01/2020,b'@iordanou It\xe2\x80\x99s on the way. https://t.co/vniAyNl4pi'
04/01/2020,b'@j_cobmichael Should we do it?'
04/01/2020,b'@hollychalamet \xf0\x9f\x98\x82\xf0\x9f\x98\x82 There\xe2\x80\x99s nothing wrong with a happy ravioli.'
04/01/2020,b'@rachxalysse We want to see. \xf0\x9f\x90\xbe \xf0\x9f\x90\xb6\xf0\x9f\x90\x88'
04/01/2020,b'@endIessoceans It happens to the best of us.'
04/01/2020,b'@EilidhPinkChic @wearehairmyres \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
04/01/2020,"b'@priyasilverst \xf0\x9f\x98\x82 \xe2\x80\x9cThank you, Teams, but mind your business.\xe2\x80\x9d'"
04/01/2020,b'@splathalla Woah. \xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x93\xf0\x9f\x92\x97\xf0\x9f\x92\x96'
04/01/2020,b'Something for all of us to do today. \xe2\xac\x87\xef\xb8\x8f\xf0\x9f\x8e\xa8 https://t.co/Bo7QHY5VBm'
04/01/2020,"b""@teachonstage We're not sorry, either."""
04/01/2020,"b'@hir_or_their ""Business casual.""'"
03/31/2020,b'\xf0\x9f\x91\x80\xf0\x9f\x8e\xae https://t.co/sn8PQQ2rkb'
03/31/2020,"b""As families navigate school closures and balance #DistanceLearning with taking time to have fun, we've added free e\xe2\x80\xa6 https://t.co/8QIKoxmRyr"""
03/31/2020,b'This is amazing. https://t.co/i2n3gBRk3S'
03/30/2020,"b'To all of the frontline healthcare workers across the globe, thank you. #NationalDoctorsDay \xf0\x9f\x8f\xa5'"
03/30/2020,b'Online learning is helping teachers and students stay connected. \xf0\x9f\x92\xbb\n\nLearn how #MicrosoftTeams for Education can hel\xe2\x80\xa6 https://t.co/ibM2KpdQpZ'
03/30/2020,b'@darth \xe2\x94\x8f\xe2\x94\x93  \n\xe2\x94\x83\xe2\x94\x83\xe2\x95\xb1\xe2\x95\xb2 in this\n\xe2\x94\x83\xe2\x95\xb1\xe2\x95\xb1\xe2\x95\xb2\xe2\x95\xb2  house\n\xe2\x95\xb1\xe2\x95\xb1\xe2\x95\xad\xe2\x95\xae\xe2\x95\xb2\xe2\x95\xb2  we\n\xe2\x96\x94\xe2\x96\x8f\xe2\x94\x97\xe2\x94\x9b\xe2\x96\x95\xe2\x96\x94    ask\n\xe2\x95\xb1\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x96\x94\xe2\x95\xb2 \n              politely\n\xe2\x95\xb1\xe2\x95\xb1\xe2\x94\x8f\xe2\x94\xb3\xe2\x94\x93\xe2\x95\xad\xe2\x95\xae\xe2\x94\x8f\xe2\x94\xb3\xe2\x94\x93 \xe2\x95\xb2\xe2\x95\xb2 \n\xe2\x96\x94\xe2\x96\x8f\xe2\x94\x97\xe2\x94\xbb\xe2\x94\x9b\xe2\x94\x83\xe2\x94\x83\xe2\x94\x97\xe2\x94\xbb\xe2\x94\x9b\xe2\x96\x95\xe2\x96\x94'
03/30/2020,b'@PettyClegg TOO FUNNY! \xf0\x9f\x98\x82\xf0\x9f\xa5\x94'
03/30/2020,b'The world\xe2\x80\x99s productivity cloud \xe2\x80\x93 #Microsoft365 \xe2\x80\x93 is designed to help you achieve more across work and life. And it\xe2\x80\x99\xe2\x80\xa6 https://t.co/z1pxHZaUAI'
03/28/2020,b'Who dresses up for #MicrosoftTeams meetings? Jake goes the extra mile. https://t.co/cNH4QHOkYe'
03/28/2020,b'@JakeOfAllTrad11 @MicrosoftTeams This is spectacular. \xf0\x9f\x98\x82\xf0\x9f\x8c\xb7\xf0\x9f\xa7\x91\xe2\x80\x8d\xf0\x9f\x8d\xb3'
03/27/2020,"b""Tech consultant Sarah Kimmel has some great tips for organizing your family's routine during these uncertain times,\xe2\x80\xa6 https://t.co/o9oJwtSdRO"""
03/27/2020,b'Everyone deserves their 4PM snack. https://t.co/ZZQNNIIbpF'
03/27/2020,"b'@AltyAngela @LancsHospitals @DigitalAhp @HealthierLSC @saeedumarlthtr @declan_hadley We love seeing news like this. Thank you, Angela!'"
03/27/2020,b'@clairegiordano \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
03/27/2020,b'@EricHultgren We challenge you to conduct a group chat with teammates using only GIFs. Let us know how it goes.'
03/27/2020,"b'@dkctheman We see you, Dan. And we respect you.'"
03/27/2020,b'@angelicacflynn Just to be clear: we\xe2\x80\x99ve voted for YES but in caps.'
03/27/2020,b'@polly_winn \xf0\x9f\x98\x82 We can relate.'
03/27/2020,"b'@TiffBromfield Way to go, Tiffany!\xf0\x9f\x92\xaa'"
03/27/2020,b'@mrimark @cwru @ClevelandClinic @Danayoub \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'
03/26/2020,"b'When it comes to informing the next generation, fact-based journalism matters now more than ever.\n\n@MicrosoftEDU an\xe2\x80\xa6 https://t.co/H20qna6p6G'"
03/26/2020,b'@AshtinJohnson8 @teachindavis @MicrosoftEDU @kayscreek The BEST assistant. \xf0\x9f\xa5\xb0'
03/26/2020,b'@cj_pope @ObserverUK Here\xe2\x80\x99s to bringing people together. Thank you for sharing!'
03/26/2020,"b'@erinjurisich @OnslowSchools @MicrosoftTeams @MicrosoftEDU @SBMSPIRATES Stay strong, Mrs. Erin. \xf0\x9f\x92\xaa\xf0\x9f\x93\x9a'"
03/26/2020,b'@belazu_co @alicesarahjk \xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa7\x98\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x98\xae\xef\xb8\x8f\xf0\x9f\x92\x9f'
03/26/2020,b'@THDG8OR @THD_RDC5851 @THDBradMazuk @SeanJ_THD @THD_Alexandra This is so wholesome. \xf0\x9f\x98\x82\xf0\x9f\x9a\xa7\xf0\x9f\x91\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x91\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
03/26/2020,"b""Flatbread a la #MicrosoftTeams. We don't hate it. https://t.co/RoI5Yz8P60"""
03/26/2020,b'Get the latest updates on all things MirrorHR: https://t.co/oDespdv4F0'
03/26/2020,"b'MirrorHR\'s ""Epilepsy Research Kit for Kids\xe2\x80\x9d won the grand prize at our annual Global #Hackathon in 2019.\n\nSee how t\xe2\x80\xa6 https://t.co/YbDWyXIR6b'"
03/26/2020,"b'Microsoft is pleased to join the COVID-19 Education Coalition, organized by @UNESCO, to bring tools and educational\xe2\x80\xa6 https://t.co/ZZCr87u4Mz'"
03/25/2020,b'More innovation coming to #MicrosoftTeams meetings in the next few months:  \n\n\xe2\x9c\x8b Raise a hand in meetings when you h\xe2\x80\xa6 https://t.co/oSAvvlPsnW'
03/25/2020,"b'More stories like this, please \xe2\xac\x87\xef\xb8\x8f https://t.co/Iqgnc9Hu9r'"
03/25/2020,"b'@cavalenzu @mr_isaacs This is great, Catalina. We love to see it \xf0\x9f\x90\x9d'"
03/25/2020,b'@brassell_a Keep up the good work \xf0\x9f\x98\x82'
03/25/2020,b'@joshholmes @MicrosoftTeams \xf0\x9f\xa5\xb0'
03/25/2020,"b""@jpl_2nd @MicrosoftTeams Happy to see we're bringing her joy \xf0\x9f\x98\x8a"""
03/25/2020,"b""We're making sure researchers working to combat COVID-19 have access to the tools they need. https://t.co/wSMDAhJc2L"""
03/24/2020,"b""Everyone could use a smile. \n\nDogs using #MicrosoftTeams. \n\nThat's it. That's the tweet. https://t.co/gDULX9o6Q1"""
03/24/2020,b'A new educator joins @Flipgrid every 3 seconds to connect with learners and families at home. \n\nLearn about this in\xe2\x80\xa6 https://t.co/Uf6bd7zJ68'
03/23/2020,"b'To provide real-time support and prevent health systems from being overwhelmed, we\xe2\x80\x99ve partnered with the CDC on a C\xe2\x80\xa6 https://t.co/MXYbcjQ5Bq'"
03/23/2020,"b'To ensure everyone can stay connected and productive, the free version of @MicrosoftTeams now supports an unlimited\xe2\x80\xa6 https://t.co/mR13YpjCLb'"
03/23/2020,"b'In our home state of Washington, our global supply chain team has been hard at work. The first 5 pallets of persona\xe2\x80\xa6 https://t.co/IG6pQSvNnN'"
03/21/2020,"b'This #InternationalDayOfForests, we appreciate how forests calm, connect, and teach us. Explore US forests and lear\xe2\x80\xa6 https://t.co/BTakuf2tBJ'"
03/20/2020,"b'As businesses and schools move to remote work, here are some resources to help navigate these challenging times:\n\n\xf0\x9f\x93\x9a\xe2\x80\xa6 https://t.co/1QNHEmHpWV'"
03/20/2020,"b""As COVID-19 impacts school closures, we rely on technology more than ever. \n\nHere's how #MicrosoftTeams is making t\xe2\x80\xa6 https://t.co/6Oh4iabupJ"""
03/19/2020,"b""Microsoft Teams' 44 million users have generated more than 900 million meeting minutes every day this week. As orga\xe2\x80\xa6 https://t.co/0cluJHXiz2"""
03/18/2020,b'Looking for simple ways to engage family learning from home? \xf0\x9f\x93\x9a\n\nSpark a family-led learning experience with these f\xe2\x80\xa6 https://t.co/RIYHjfdMZg'
